year,category,nominee,staff,win
2015, Lead Actor In A Comedy Series,black-ish,Anthony Anderson,False
2015, Guest Actress In A Comedy Series,Girls,Gaby Hoffmann,False
2015, Guest Actress In A Comedy Series,The Big Bang Theory ,Christine Baranski,False
2015, Guest Actress In A Comedy Series,Louie,Pamela Adlon,False
2015, Guest Actress In A Comedy Series,Unbreakable Kimmy Schmidt,Tina Fey,False
2015, Guest Actress In A Comedy Series,Shameless,Joan Cusack,True
2015, Guest Actress In A Comedy Series,Modern Family,Elizabeth Banks,False
2015, Guest Actor In A Comedy Series,The Comedians,Mel Brooks,False
2015, Guest Actor In A Comedy Series,Unbreakable Kimmy Schmidt,Jon Hamm,False
2015, Guest Actor In A Comedy Series,Transparent,Bradley Whitford,True
2015, Guest Actor In A Comedy Series,Inside Amy Schumer,Paul Giamatti,False
2015, Guest Actor In A Comedy Series,Saturday Night Live,Bill Hader,False
2015, Guest Actor In A Comedy Series,Saturday Night Live,Louis C.K.,False
2015, Directing For Nonfiction Programming,Foo Fighters: Sonic Highways,Dave Grohl,False
2015, Directing For Nonfiction Programming,Going Clear: Scientology And The Prison Of Belief,Alex Gibney,True
2015, Directing For Nonfiction Programming,Kurt Cobain: Montage Of Heck,Brett Morgen,False
2015, Directing For Nonfiction Programming,Citizenfour,Laura Poitras,False
2015, Directing For Nonfiction Programming,The Jinx: The Life And Deaths Of Robert Durst,Andrew Jarecki,False
2015, Directing For A Variety Series,The Tonight Show Starring Jimmy Fallon,Dave Diomedi,False
2015, Directing For A Variety Series,Late Show With David Letterman,Jerry Foley,False
2015, Directing For A Variety Series,The Colbert Report,James Hoskinson,False
2015, Directing For A Variety Series,The Daily Show With Jon Stewart,Chuck O'Neil,True
2015, Directing For A Variety Series,Inside Amy Schumer,Amy Schumer,False
2015, Directing For A Comedy Series,Louie,Louis C.K.,False
2015, Directing For A Comedy Series,Silicon Valley,Mike Judge,False
2015, Directing For A Comedy Series,Veep,Armando Iannucci,False
2015, Directing For A Comedy Series,Transparent,Jill Soloway,True
2015, Directing For A Comedy Series,The Last Man On Earth,Phil Lord,False
2015, Comedy Series,Transparent,Jill Soloway,False
2015, Comedy Series,Louie,Louis C.K.,False
2015, Comedy Series,Parks And Recreation,Greg Daniels,False
2015, Comedy Series,Silicon Valley,Mike Judge,False
2015, Comedy Series,Modern Family,Christopher Lloyd,False
2015, Comedy Series,Unbreakable Kimmy Schmidt,Jeff Richmond,False
2015, Character Voice-Over Performance,The Simpsons,Dan Castellaneta,False
2015, Character Voice-Over Performance,The Simpsons,Hank Azaria,True
2015, Character Voice-Over Performance,The Simpsons,Tress MacNeille,False
2015, Character Voice-Over Performance,Family Guy,Seth MacFarlane,False
2015, Character Voice-Over Performance,Robot Chicken,Seth Green,False
2015, Character Voice-Over Performance,Bob's Burgers,John Roberts,False
2015, Comedy Series,Veep,Armando Iannucci,True
2014, Lead Actress In A Comedy Series,Mike & Molly,Melissa McCarthy,False
2014, Lead Actress In A Comedy Series,Parks and Recreation,Amy Poehler,False
2014, Lead Actor In A Comedy Series,Episodes,Matt LeBlanc,False
2014, Lead Actor In A Comedy Series,House Of Lies,Don Cheadle,False
2014, Lead Actor In A Comedy Series,Shameless,William H. Macy,False
2014, Lead Actor In A Comedy Series,The Big Bang Theory,Jim Parsons,True
2014, Supporting Actress In A Comedy Series,Mom,Allison Janney,True
2014, Supporting Actress In A Comedy Series,Saturday Night Live,Kate McKinnon,False
2014, Supporting Actress In A Comedy Series,The Big Bang Theory,Mayim Bialik,False
2014, Guest Actress In A Comedy Series,Saturday Night Live,Tina Fey,False
2014, Guest Actress In A Comedy Series,Saturday Night Live,Melissa McCarthy,False
2014, Guest Actress In A Comedy Series,Shameless,Joan Cusack,False
2014, Guest Actor In A Comedy Series,Saturday Night Live,Jimmy Fallon,True
2014, Guest Actor In A Comedy Series,Saturday Night Live,Louis C.K.,False
2014, Guest Actor In A Comedy Series,The Big Bang Theory,Bob Newhart,False
2014, Writing for a Comedy Series,Episodes,David Crane,False
2014, Directing For A Comedy Series,Episodes,Iain B. MacDonald,False
2014, Comedy Series,The Big Bang Theory,Chuck Lorre,False
2014, Lead Actress In A Miniseries Or A Movie,American Horror Story: Coven,Jessica Lange,True
2014, Lead Actress In A Miniseries Or A Movie,American Horror Story: Coven,Sarah Paulson,False
2014, Lead Actress In A Miniseries Or A Movie,The Trip To Bountiful,Cicely Tyson,False
2014, Lead Actor In A Miniseries Or A Movie,Luther,Idris Elba,False
2014, Supporting Actress In A Miniseries Or A Movie,American Horror Story: Coven,Frances Conroy,False
2014, Supporting Actress In A Miniseries Or A Movie,American Horror Story: Coven,Kathy Bates,True
2014, Supporting Actress In A Miniseries Or A Movie,American Horror Story: Coven,Angela Bassett,False
2014, Writing for a Miniseries,American Horror Story: Coven,Ryan Murphy,False
2014, Writing for a Miniseries,Luther,Neil Cross,False
2014, Directing For A Miniseries,American Horror Story: Coven,Alfonso Gomez-Rejon,False
2014, Writing For A Variety Series,Key & Peele,Jay Martel,False
2014, Writing For A Variety Series,The Colbert Report,Opus Moreschi,True
2014, Writing For A Variety Series,The Daily Show With Jon Stewart,Elliott Kalan,False
2014, Writing For A Variety Series,The Tonight Show Starring Jimmy Fallon,AD Miles,False
2014, Directing For A Variety Series,Saturday Night Live,Don Roy King,True
2014, Directing For A Variety Series,The Colbert Report,James Hoskinson,False
2014, Directing For A Variety Series,The Daily Show With Jon Stewart,Chuck O'Neil,False
2014, Directing For A Variety Series,The Tonight Show Starring Jimmy Fallon,Dave Diomedi,False
2014, Variety Series,Jimmy Kimmel Live,Jimmy Kimmel,False
2014, Variety Series,Saturday Night Live,Lorne Michaels,False
2014, Variety Series,The Colbert Report,Stephen Colbert,True
2014, Variety Series,The Daily Show With Jon Stewart,Jon Stewart,False
2014, Variety Series,The Tonight Show Starring Jimmy Fallon,Lorne Michaels,False
2014, Miniseries,American Horror Story: Coven,Ryan Murphy,False
2014, Miniseries,Bonnie & Clyde,Craig Zadan,False
2014, Miniseries,Luther,Phillippa Giles,False
2014, Writing for Nonfiction Programming,The World Wars,Stephen David,False
2014, Character Voice-Over Performance,Disney Mickey Mouse,Chris Diamantopoulos,False
2014, Character Voice-Over Performance,Family Guy,Seth MacFarlane,False
2014, Character Voice-Over Performance,Futurama,Maurice LaMarche,False
2014, Character Voice-Over Performance,The Simpsons,Harry Shearer,True
2013, Lead Actress In A Comedy Series,Enlightened,Laura Dern,False
2013, Lead Actress In A Comedy Series,Girls,Lena Dunham,False
2013, Lead Actress In A Comedy Series,30 Rock,Tina Fey,False
2013, Lead Actress In A Comedy Series,Parks And Recreation,Amy Poehler,False
2013, Lead Actress In A Comedy Series,Veep,Julia Louis-Dreyfus,True
2013, Lead Actress In A Comedy Series,Nurse Jackie,Edie Falco,False
2013, Lead Actor In A Comedy Series,Episodes,Matt LeBlanc,False
2013, Lead Actor In A Comedy Series,Louie,Louis C.K.,False
2013, Lead Actor In A Comedy Series,30 Rock,Alec Baldwin,False
2013, Lead Actor In A Comedy Series,The Big Bang Theory,Jim Parsons,True
2013, Lead Actor In A Comedy Series,House Of Lies,Don Cheadle,False
2013, Lead Actor In A Comedy Series,Arrested Development,Jason Bateman,False
2013, Supporting Actress In A Comedy Series,The Big Bang Theory,Mayim Bialik,False
2013, Supporting Actress In A Comedy Series,Glee,Jane Lynch,False
2013, Supporting Actress In A Comedy Series,30 Rock,Jane Krakowski,False
2013, Supporting Actress In A Comedy Series,Modern Family,Sofia Vergara,False
2013, Supporting Actress In A Comedy Series,Modern Family,Julie Bowen,False
2013, Supporting Actress In A Comedy Series,Veep,Anna Chlumsky,False
2013, Supporting Actress In A Comedy Series,Nurse Jackie,Merritt Wever,True
2013, Supporting Actor In A Comedy Series,Girls,Adam Driver,False
2013, Supporting Actor In A Comedy Series,Modern Family,Jesse Tyler Ferguson,False
2013, Supporting Actor In A Comedy Series,Modern Family,Ed O'Neill,False
2013, Supporting Actor In A Comedy Series,Modern Family,Ty Burrell,False
2013, Supporting Actor In A Comedy Series,Saturday Night Live,Bill Hader,False
2013, Supporting Actor In A Comedy Series,Veep,Tony Hale,True
2013, Guest Actress In A Comedy Series,Enlightened,Molly Shannon,False
2013, Guest Actress In A Comedy Series,Louie,Melissa Leo,True
2013, Guest Actress In A Comedy Series,30 Rock,Elaine Stritch,False
2013, Guest Actress In A Comedy Series,Glee,Dot-Marie Jones,False
2013, Guest Actress In A Comedy Series,Saturday Night Live,Melissa McCarthy,False
2013, Guest Actress In A Comedy Series,Saturday Night Live,Kristen Wiig,False
2013, Guest Actor In A Comedy Series,30 Rock,Will Forte,False
2013, Guest Actor In A Comedy Series,Modern Family,Nathan Lane,False
2013, Guest Actor In A Comedy Series,Saturday Night Live,Louis C.K.,False
2013, Guest Actor In A Comedy Series,Saturday Night Live,Justin Timberlake,False
2013, Guest Actor In A Comedy Series,The Big Bang Theory,Bob Newhart,True
2013, Guest Actor In A Comedy Series,Nurse Jackie,Bobby Cannavale,False
2013, Writing for a Comedy Series,Episodes,David Crane,False
2013, Writing for a Comedy Series,Louie,Louis C.K.,False
2013, Writing for a Comedy Series,30 Rock,Jack Burditt,False
2013, Writing for a Comedy Series,30 Rock,Tina Fey,True
2013, Writing for a Comedy Series,The Office,Greg Daniels,False
2013, Directing For A Comedy Series,Girls,Lena Dunham,False
2013, Directing For A Comedy Series,Louie,Louis C.K.,False
2013, Directing For A Comedy Series,30 Rock,Beth McCarthy-Miller,False
2013, Directing For A Comedy Series,Glee,Paris Barclay,False
2013, Directing For A Comedy Series,Modern Family,Gail Mancuso,True
2013, Comedy Series,Girls,Lena Dunham,False
2013, Comedy Series,Louie,Louis C.K.,False
2013, Comedy Series,30 Rock,Tina Fey,False
2013, Comedy Series,Veep,Armando Iannucci,False
2013, Comedy Series,The Big Bang Theory,Chuck Lorre,False
2013, Comedy Series,Modern Family,Steven Levitan,True
2013, Lead Actress In A Miniseries Or A Movie,Top Of The Lake,Elisabeth Moss,False
2013, Lead Actress In A Miniseries Or A Movie,American Horror Story: Asylum,Jessica Lange,False
2013, Lead Actress In A Miniseries Or A Movie,Political Animals,Sigourney Weaver,False
2013, Lead Actress In A Miniseries Or A Movie,Phil Spector,Helen Mirren,False
2013, Lead Actress In A Miniseries Or A Movie,The Big C: Hereafter,Laura Linney,True
2013, Lead Actor In A Miniseries Or A Movie,Parade's End,Benedict Cumberbatch,False
2013, Lead Actor In A Miniseries Or A Movie,Phil Spector,Al Pacino,False
2013, Lead Actor In A Miniseries Or A Movie,The Girl,Toby Jones,False
2013, Lead Actor In A Miniseries Or A Movie,Behind The Candelabra,Michael Douglas,True
2013, Lead Actor In A Miniseries Or A Movie,Behind The Candelabra,Matt Damon,False
2013, Supporting Actress In A Miniseries Or A Movie,American Horror Story: Asylum,Sarah Paulson,False
2013, Supporting Actress In A Miniseries Or A Movie,Restless,Charlotte Rampling,False
2013, Supporting Actress In A Miniseries Or A Movie,Political Animals,Ellen Burstyn,True
2013, Supporting Actress In A Miniseries Or A Movie,Steel Magnolias,Alfre Woodard,False
2013, Supporting Actress In A Miniseries Or A Movie,The Girl,Imelda Staunton,False
2013, Supporting Actor In A Miniseries Or A Movie,Top Of The Lake,Peter Mullan,False
2013, Supporting Actor In A Miniseries Or A Movie,American Horror Story: Asylum,James Cromwell,True
2013, Supporting Actor In A Miniseries Or A Movie,American Horror Story: Asylum,Zachary Quinto,False
2013, Supporting Actor In A Miniseries Or A Movie,The Big C: Hereafter,John Benjamin Hickey,False
2013, Supporting Actor In A Miniseries Or A Movie,Behind The Candelabra,Scott Bakula,False
2013, Writing for a Miniseries,Top of the Lake,Jane Campion,False
2013, Writing for a Miniseries,Parade's End,Tom Stoppard,False
2013, Writing for a Miniseries,Phil Spector,David Mamet,False
2013, Writing for a Miniseries,Behind the Candelabra,Richard LaGravenese,False
2013, Writing for a Miniseries,The Hour,Abi Morgan,True
2013, Directing For A Miniseries,Top of the Lake,Jane Campion,False
2013, Directing For A Miniseries,Phil Spector,David Mamet,False
2013, Directing For A Miniseries,The Girl,Julian Jarrold,False
2013, Directing For A Miniseries,Ring Of Fire,Allison Anders,False
2013, Directing For A Miniseries,Behind the Candelabra,Steven Soderbergh,True
2013, Miniseries or Movie,Behind the Candelabra,Jerry Weintraub,True
2013, Miniseries or Movie,The Bible,Mark Burnett,False
2013, Miniseries or Movie,Phil Spector,Barry Levinson,False
2013, Miniseries or Movie,Political Animals,Greg Berlanti,False
2013, Miniseries or Movie,Top of the Lake,Emile Sherman,False
2013, Miniseries or Movie,American Horror Story: Asylum,Ryan Murphy,False
2013, Writing For A Variety Series,The Colbert Report,Opus Moreschi,True
2013, Writing For A Variety Series,Portlandia,Fred Armisen,False
2013, Writing For A Variety Series,Real Time With Bill Maher,Adam Felber,False
2013, Writing For A Variety Series,Saturday Night Live,James Anderson,False
2013, Writing For A Variety Series,The Daily Show With Jon Stewart,Tim Carvell,False
2013, Writing For A Variety Series,Jimmy Kimmel Live,Gary Greenberg,False
2013, Directing For A Variety Series,The Colbert Report,James Hoskinson,False
2013, Directing For A Variety Series,Portlandia,Jonathan Krisel,False
2013, Directing For A Variety Series,Late Show With David Letterman,Jerry Foley,False
2013, Directing For A Variety Series,Saturday Night Live,Don Roy King,True
2013, Directing For A Variety Series,Jimmy Kimmel Live,Andy Fisher,False
2013, Directing For A Variety Series,The Daily Show With Jon Stewart,Chuck O'Neil,False
2013, Variety Series,The Colbert Report,Stephen Colbert,True
2013, Variety Series,The Daily Show With Jon Stewart,Jon Stewart,False
2013, Variety Series,Jimmy Kimmel Live,Jimmy Kimmel,False
2013, Variety Series,Late Night With Jimmy Fallon,Lorne Michaels,False
2013, Variety Series,Real Time With Bill Maher,Bill Maher,False
2013, Variety Series,Saturday Night Live,Lorne Michaels,False
2013, Directing For Nonfiction Programming,Ethel,Rory Kennedy,False
2013, Directing For Nonfiction Programming,American Masters,Robert Trachtenberg,True
2013, Directing For Nonfiction Programming,Mea Maxima Culpa: Silence In The House Of God,Alex Gibney,False
2013, Directing For Nonfiction Programming,Survivor,Glenn Weiss,False
2013, Directing For Nonfiction Programming,Survivor,Michael Simon,False
2013, Voice-Over Performance,An Apology To Elephants,Lily Tomlin,True
2013, Voice-Over Performance,The Looney Tunes Show,Bob Bergen,False
2013, Voice-Over Performance,Family Guy,Seth MacFarlane,False
2013, Voice-Over Performance,Family Guy,Alex Borstein,False
2013, Voice-Over Performance,Robot Chicken DC Comics Special,Seth Green,False
2013, Voice-Over Performance,Robot Chicken,Sam Elliott,False
2013, Writing for Nonfiction Programming,Ethel,Mark Bailey,False
2013, Writing for Nonfiction Programming,Mea Maxima Culpa: Silence In The House Of God,Alex Gibney,True
2013, Writing for Nonfiction Programming,The Dust Bowl,Dayton Duncan,False
2013, Writing for Nonfiction Programming,Anthony Bourdain Parts Unknown,Anthony Bourdain,False
2013, Writing for Nonfiction Programming,The Men Who Built America,Stephen David,False
2012, Lead Actress In A Comedy Series,New Girl,Zooey Deschanel,False
2012, Lead Actress In A Comedy Series,Girls,Lena Dunham,False
2012, Lead Actress In A Comedy Series,Nurse Jackie,Edie Falco,False
2012, Lead Actress In A Comedy Series,Parks And Recreation,Amy Poehler,False
2012, Lead Actress In A Comedy Series,30 Rock,Tina Fey,False
2012, Lead Actress In A Comedy Series,Mike & Molly,Melissa McCarthy,False
2012, Lead Actress In A Comedy Series,Veep,Julia Louis-Dreyfus,True
2012, Lead Actor In A Comedy Series,Curb Your Enthusiasm,Larry David,False
2012, Lead Actor In A Comedy Series,Louie,Louis C.K.,False
2012, Lead Actor In A Comedy Series,The Big Bang Theory,Jim Parsons,False
2012, Lead Actor In A Comedy Series,House Of Lies,Don Cheadle,False
2012, Lead Actor In A Comedy Series,30 Rock,Alec Baldwin,False
2012, Lead Actor In A Comedy Series,Two And A Half Men,Jon Cryer,True
2012, Supporting Actress In A Comedy Series,The Big Bang Theory,Mayim Bialik,False
2012, Supporting Actress In A Comedy Series,Nurse Jackie,Merritt Wever,False
2012, Supporting Actress In A Comedy Series,Saturday Night Live,Kristen Wiig,False
2012, Supporting Actress In A Comedy Series,Modern Family,Sofia Vergara,False
2012, Supporting Actress In A Comedy Series,Desperate Housewives,Kathryn Joosten,False
2012, Supporting Actress In A Comedy Series,Modern Family,Julie Bowen,True
2012, Supporting Actor In A Comedy Series,Modern Family,Ed O'Neill,False
2012, Supporting Actor In A Comedy Series,Modern Family,Jesse Tyler Ferguson,False
2012, Supporting Actor In A Comedy Series,Modern Family,Ty Burrell,False
2012, Supporting Actor In A Comedy Series,Saturday Night Live,Bill Hader,False
2012, Supporting Actor In A Comedy Series,New Girl,Max Greenfield,False
2012, Supporting Actor In A Comedy Series,Modern Family,Eric Stonestreet,True
2012, Guest Actress In A Comedy Series,Saturday Night Live,Maya Rudolph,False
2012, Guest Actress In A Comedy Series,30 Rock,Elizabeth Banks,False
2012, Guest Actress In A Comedy Series,Glee,Dot-Marie Jones,False
2012, Guest Actress In A Comedy Series,Saturday Night Live,Melissa McCarthy,False
2012, Guest Actress In A Comedy Series,30 Rock,Margaret Cho,False
2012, Guest Actress In A Comedy Series,Two And A Half Men,Kathy Bates,True
2012, Guest Actor In A Comedy Series,Curb Your Enthusiasm,Michael J. Fox,False
2012, Guest Actor In A Comedy Series,Nurse Jackie,Bobby Cannavale,False
2012, Guest Actor In A Comedy Series,30 Rock,Will Arnett,False
2012, Guest Actor In A Comedy Series,Modern Family,Greg Kinnear,False
2012, Guest Actor In A Comedy Series,30 Rock,Jon Hamm,False
2012, Guest Actor In A Comedy Series,Saturday Night Live,Jimmy Fallon,True
2012, Writing for a Comedy Series,Girls,Lena Dunham,False
2012, Writing for a Comedy Series,Parks And Recreation,Amy Poehler,False
2012, Writing for a Comedy Series,Parks And Recreation,Michael Schur,False
2012, Writing for a Comedy Series,Community,Chris McKenna,False
2012, Writing for a Comedy Series,Louie,Louis C.K.,True
2012, Directing For A Comedy Series,Curb Your Enthusiasm,Robert B. Weide,False
2012, Directing For A Comedy Series,Girls,Lena Dunham,False
2012, Directing For A Comedy Series,New Girl,Jake Kasdan,False
2012, Directing For A Comedy Series,Louie,Louis C.K.,False
2012, Directing For A Comedy Series,Modern Family,Jason Winer,False
2012, Directing For A Comedy Series,Modern Family,Steven Levitan,True
2012, Comedy Series,Curb Your Enthusiasm,Larry David,False
2012, Comedy Series,Girls,Lena Dunham,False
2012, Comedy Series,Veep,Armando Iannucci,False
2012, Comedy Series,30 Rock,Lorne Michaels,False
2012, Comedy Series,Modern Family,Steven Levitan,True
2012, Comedy Series,The Big Bang Theory,Chuck Lorre,False
2012, Lead Actress In A Miniseries Or A Movie,American Horror Story,Connie Britton,False
2012, Lead Actress In A Miniseries Or A Movie,Hemingway & Gellhorn,Nicole Kidman,False
2012, Lead Actress In A Miniseries Or A Movie,The Song Of Lunch (Masterpiece),Emma Thompson,False
2012, Lead Actress In A Miniseries Or A Movie,Missing,Ashley Judd,False
2012, Lead Actress In A Miniseries Or A Movie,Game Change,Julianne Moore,True
2012, Lead Actor In A Miniseries Or A Movie,Game Change,Woody Harrelson,False
2012, Lead Actor In A Miniseries Or A Movie,Hemingway & Gellhorn,Clive Owen,False
2012, Lead Actor In A Miniseries Or A Movie,Sherlock: A Scandal In Belgravia (Masterpiece),Benedict Cumberbatch,False
2012, Lead Actor In A Miniseries Or A Movie,Luther,Idris Elba,False
2012, Lead Actor In A Miniseries Or A Movie,Hatfields & McCoys,Bill Paxton,False
2012, Lead Actor In A Miniseries Or A Movie,Hatfields & McCoys,Kevin Costner,True
2012, Supporting Actress In A Miniseries Or A Movie,Game Change,Sarah Paulson,False
2012, Supporting Actress In A Miniseries Or A Movie,American Horror Story,Frances Conroy,False
2012, Supporting Actress In A Miniseries Or A Movie,Page Eight (Masterpiece),Judy Davis,False
2012, Supporting Actress In A Miniseries Or A Movie,Hatfields & McCoys,Mare Winningham,False
2012, Supporting Actress In A Miniseries Or A Movie,American Horror Story,Jessica Lange,True
2012, Supporting Actor In A Miniseries Or A Movie,Game Change,Ed Harris,False
2012, Supporting Actor In A Miniseries Or A Movie,American Horror Story,Denis O'Hare,False
2012, Supporting Actor In A Miniseries Or A Movie,Hemingway & Gellhorn,David Strathairn,False
2012, Supporting Actor In A Miniseries Or A Movie,Sherlock: A Scandal In Belgravia (Masterpiece),Martin Freeman,False
2012, Supporting Actor In A Miniseries Or A Movie,Hatfields & McCoys,Tom Berenger,True
2012, Writing for a Miniseries,Sherlock: A Scandal In Belgravia (Masterpiece),Steven Moffat,False
2012, Writing for a Miniseries,The Hour,Abi Morgan,False
2012, Writing for a Miniseries,Luther,Neil Cross,False
2012, Writing for a Miniseries,Hatfields & McCoys,Ted Mann,False
2012, Writing for a Miniseries,Game Change,Danny Strong,True
2012, Directing For A Miniseries,Hemingway & Gellhorn,Philip Kaufman,False
2012, Directing For A Miniseries,Sherlock: A Scandal In Belgravia (Masterpiece),Paul McGuigan,False
2012, Directing For A Miniseries,Hatfields & McCoys,Kevin Reynolds,False
2012, Directing For A Miniseries,Luther,Sam Miller,False
2012, Directing For A Miniseries,Game Change,Jay Roach,True
2012, Miniseries or Movie,Hatfields & McCoys,Leslie Greif,False
2012, Miniseries or Movie,Hemingway & Gellhorn,Peter Kaufman,False
2012, Miniseries or Movie,Sherlock: A Scandal In Belgravia (Masterpiece),Beryl Vertue,False
2012, Miniseries or Movie,Luther,Phillippa Giles,False
2012, Miniseries or Movie,Game Change,Tom Hanks,True
2012, Miniseries or Movie,American Horror Story,Ryan Murphy,False
2012, Writing For A Variety Series,Portlandia,Fred Armisen,False
2012, Writing For A Variety Series,Real Time With Bill Maher,Adam Felber,False
2012, Writing For A Variety Series,Saturday Night Live,James Anderson,False
2012, Writing For A Variety Series,The Colbert Report,Barry Julien,False
2012, Writing For A Variety Series,The Daily Show With Jon Stewart,Tim Carvell,True
2012, Directing For A Variety Series,The Daily Show With Jon Stewart,Chuck O'Neil,False
2012, Directing For A Variety Series,Portlandia,Jonathan Krisel,False
2012, Directing For A Variety Series,The Colbert Report,James Hoskinson,False
2012, Directing For A Variety Series,Late Show With David Letterman,Jerry Foley,False
2012, Directing For A Variety Series,Saturday Night Live,Don Roy King,True
2012, Variety Series,Jimmy Kimmel Live,Jimmy Kimmel,False
2012, Variety Series,Real Time With Bill Maher,Bill Maher,False
2012, Variety Series,Saturday Night Live,Lorne Michaels,False
2012, Variety Series,Late Night With Jimmy Fallon,Lorne Michaels,False
2012, Variety Series,The Colbert Report,Stephen Colbert,False
2012, Variety Series,The Daily Show With Jon Stewart,Jon Stewart,True
2012, Nonfiction Series,The Weight Of The Nation,Sheila Nevins,False
2012, Nonfiction Series,American Masters,Susan Lacy,False
2012, Nonfiction Series,Inside The Actors Studio,James Lipton,False
2012, Nonfiction Series,Anthony Bourdain: No Reservations,Chris Collins,False
2012, Nonfiction Series,Frozen Planet,Alastair Fothergill,True
2012, Nonfiction Special,Bobby Fischer Against The World,Sheila Nevins,False
2012, Nonfiction Special,Gloria: In Her Own Words,Dyllan McGee,False
2012, Nonfiction Special,6 Days To Air: The Making Of South Park,Arthur Bradford,False
2012, Nonfiction Special,Paul Simon's Graceland Journey: Under African Skies,Molly Thompson,False
2012, Nonfiction Special,George Harrison: Living In The Material World,Margaret Bodde,True
2012, Directing For Nonfiction Programming,Paradise Lost 3: Purgatory,Joe Berlinger,False
2012, Directing For Nonfiction Programming,Project Runway,Craig Spirko,False
2012, Directing For Nonfiction Programming,The Amazing Race,Bertram van Munster,False
2012, Directing For Nonfiction Programming,American Masters,Robert B. Weide,False
2012, Directing For Nonfiction Programming,George Harrison: Living In The Material World,Martin Scorsese,True
2012, Voice-Over Performance,Disney Phineas And Ferb: Across The 2nd Dimension,Dan Povenmire,False
2012, Voice-Over Performance,Desperate Housewives,Brenda Strong,False
2012, Voice-Over Performance,The Simpsons,Hank Azaria,False
2012, Voice-Over Performance,The Looney Tunes Show,Kristen Wiig,False
2012, Voice-Over Performance,Disney Prep & Landing: Naughty Vs. Nice,Rob Riggle,False
2012, Voice-Over Performance,Futurama,Maurice LaMarche,True
2012, Writing for Nonfiction Programming,Sesame Street: Growing Hope Against Hunger,Christine Ferraro,False
2012, Writing for Nonfiction Programming,Anthony Bourdain: No Reservations,Anthony Bourdain,False
2012, Writing for Nonfiction Programming,American Masters,Peter Jones,False
2012, Writing for Nonfiction Programming,American Experience,Barak Goodman,False
2012, Writing for Nonfiction Programming,Prohibition,Geoffrey C. Ward,True
2011, Lead Actress In A Comedy Series,Nurse Jackie,Edie Falco,False
2011, Lead Actress In A Comedy Series,Parks And Recreation,Amy Poehler,False
2011, Lead Actress In A Comedy Series,The Big C,Laura Linney,False
2011, Lead Actress In A Comedy Series,30 Rock,Tina Fey,False
2011, Lead Actress In A Comedy Series,Raising Hope,Martha Plimpton,False
2011, Lead Actress In A Comedy Series,Mike & Molly,Melissa McCarthy,True
2011, Lead Actor In A Comedy Series,Episodes,Matt LeBlanc,False
2011, Lead Actor In A Comedy Series,Louie,Louis C.K.,False
2011, Lead Actor In A Comedy Series,The Big Bang Theory,Johnny Galecki,False
2011, Lead Actor In A Comedy Series,The Office,Steve Carell,False
2011, Lead Actor In A Comedy Series,30 Rock,Alec Baldwin,False
2011, Lead Actor In A Comedy Series,The Big Bang Theory,Jim Parsons,True
2011, Supporting Actress In A Comedy Series,Glee,Jane Lynch,False
2011, Supporting Actress In A Comedy Series,30 Rock,Jane Krakowski,False
2011, Supporting Actress In A Comedy Series,Hot In Cleveland,Betty White,False
2011, Supporting Actress In A Comedy Series,Saturday Night Live,Kristen Wiig,False
2011, Supporting Actress In A Comedy Series,Modern Family,Sofia Vergara,False
2011, Supporting Actress In A Comedy Series,Modern Family,Julie Bowen,True
2011, Supporting Actor In A Comedy Series,Two And A Half Men,Jon Cryer,False
2011, Supporting Actor In A Comedy Series,Glee,Chris Colfer,False
2011, Supporting Actor In A Comedy Series,Modern Family,Ed O'Neill,False
2011, Supporting Actor In A Comedy Series,Modern Family,Jesse Tyler Ferguson,False
2011, Supporting Actor In A Comedy Series,Modern Family,Eric Stonestreet,False
2011, Supporting Actor In A Comedy Series,Modern Family,Ty Burrell,True
2011, Guest Actress In A Comedy Series,Glee,Kristin Chenoweth,False
2011, Guest Actress In A Comedy Series,Glee,Dot-Marie Jones,False
2011, Guest Actress In A Comedy Series,30 Rock,Elizabeth Banks,False
2011, Guest Actress In A Comedy Series,Saturday Night Live,Tina Fey,False
2011, Guest Actress In A Comedy Series,Raising Hope,Cloris Leachman,False
2011, Guest Actress In A Comedy Series,Glee,Gwyneth Paltrow,True
2011, Guest Actor In A Comedy Series,The Big C,Idris Elba,False
2011, Guest Actor In A Comedy Series,30 Rock,Matt Damon,False
2011, Guest Actor In A Comedy Series,30 Rock,Will Arnett,False
2011, Guest Actor In A Comedy Series,Saturday Night Live,Zach Galifianakis,False
2011, Guest Actor In A Comedy Series,Saturday Night Live,Justin Timberlake,True
2011, Guest Actor In A Comedy Series,Modern Family,Nathan Lane,False
2011, Writing for a Comedy Series,Louie,Louis C.K.,False
2011, Writing for a Comedy Series,30 Rock,Matt Hubbard,False
2011, Writing for a Comedy Series,Episodes,David Crane,False
2011, Writing for a Comedy Series,The Office,Greg Daniels,False
2011, Writing for a Comedy Series,Modern Family,Steven Levitan,True
2011, Directing For A Comedy Series,30 Rock,Beth McCarthy-Miller,False
2011, Directing For A Comedy Series,How I Met Your Mother,Pamela Fryman,False
2011, Directing For A Comedy Series,Modern Family,Gail Mancuso,False
2011, Directing For A Comedy Series,Modern Family,Steven Levitan,False
2011, Directing For A Comedy Series,Modern Family,Michael Alan Spiller,True
2011, Comedy Series,Glee,Ryan Murphy,False
2011, Comedy Series,The Office,Ben Silverman,False
